Turn LeftCX : 149  CY : 263
Turn LeftCX : 154  CY : 263
Turn LeftCX : 161  CY : 264
Turn LeftCX : 165  CY : 264
Turn LeftCX : 168  CY : 264
Turn LeftCX : 172  CY : 264
Turn LeftCX : 173  CY : 264
Turn LeftCX : 173  CY : 262
Turn LeftCX : 174  CY : 263
Turn LeftCX : 175  CY : 263
Turn LeftCX : 177  CY : 263
Turn LeftCX : 179  CY : 264
Turn LeftCX : 181  CY : 263
Turn LeftCX : 182  CY : 264
Turn LeftCX : 182  CY : 262
Turn LeftCX : 183  CY : 264
Turn LeftCX : 184  CY : 263
Turn LeftCX : 185  CY : 264
Turn LeftCX : 185  CY : 264
Turn LeftCX : 184  CY : 263
Turn LeftCX : 184  CY : 264
Turn LeftCX : 184  CY : 264
Turn LeftCX : 184  CY : 264
Turn LeftCX : 184  CY : 264
Turn LeftCX : 184  CY : 263
Turn LeftCX : 184  CY : 263
Turn LeftCX : 185  CY : 264
Turn LeftCX : 191  CY : 263
Turn LeftCX : 204  CY : 263
Turn LeftCX : 215  CY : 264
Turn LeftCX : 221  CY : 264
Turn LeftCX : 227  CY : 259
Turn LeftCX : 229  CY : 256
Turn LeftCX : 228  CY : 258
Turn LeftCX : 228  CY : 259
Turn LeftCX : 228  CY : 259
Turn LeftCX : 228  CY : 259
Turn LeftCX : 232  CY : 259
Turn LeftCX : 240  CY : 256
Turn LeftCX : 243  CY : 254
Turn LeftCX : 246  CY : 257
Turn LeftCX : 250  CY : 258
Turn LeftCX : 254  CY : 258
Turn LeftCX : 255  CY : 256
Turn LeftCX : 259  CY : 258
Turn LeftCX : 262  CY : 257
Turn LeftCX : 261  CY : 259
Turn LeftCX : 265  CY : 260
Turn LeftCX : 265  CY : 259
Turn LeftCX : 269  CY : 259
Turn LeftCX : 274  CY : 268
Turn LeftCX : 273  CY : 263
Turn LeftCX : 276  CY : 269
Turn LeftCX : 277  CY : 259
Turn LeftCX : 273  CY : 263
Turn LeftCX : 273  CY : 259
Turn LeftCX : 275  CY : 266
Turn LeftCX : 274  CY : 256
Turn LeftCX : 300  CY : 341
Turn LeftCX : 290  CY : 291
Turn LeftCX : 158  CY : 179
Turn LeftCX : 159  CY : 190
Turn LeftCX : 156  CY : 203
Turn LeftCX : 159  CY : 178
Turn LeftCX : 123  CY : 475
Turn LeftCX : 111  CY : 468
On Track!CX : 110  CY : 465
On Track!CX : 110  CY : 467
On Track!CX : 113  CY : 433
On Track!CX : 119  CY : 388
On Track!CX : 117  CY : 401
On Track!CX : 136  CY : 281
Turn LeftCX : 143  CY : 267
Turn LeftCX : 154  CY : 286
Turn LeftCX : 143  CY : 264
Turn LeftCX : 150  CY : 256
Turn LeftCX : 159  CY : 286
Turn LeftCX : 163  CY : 275
Turn LeftCX : 163  CY : 279
Turn LeftCX : 163  CY : 274
Turn LeftCX : 164  CY : 277
Turn LeftCX : 169  CY : 259
Turn LeftCX : 170  CY : 256
Turn LeftCX : 174  CY : 262
Turn LeftCX : 178  CY : 258
Turn LeftCX : 188  CY : 262
Turn LeftCX : 190  CY : 265
Turn LeftCX : 190  CY : 257
Turn LeftCX : 199  CY : 262
Turn LeftCX : 207  CY : 263
Turn LeftCX : 213  CY : 268
Turn LeftCX : 222  CY : 263
Turn LeftCX : 222  CY : 262
Turn LeftCX : 220  CY : 266
Turn LeftCX : 220  CY : 266
Turn LeftCX : 219  CY : 265
Turn LeftCX : 221  CY : 262
Turn LeftCX : 221  CY : 262
Turn LeftCX : 221  CY : 262
Turn LeftCX : 221  CY : 261
Turn LeftCX : 222  CY : 259
Turn LeftCX : 221  CY : 262
Turn LeftCX : 221  CY : 261
Turn LeftCX : 222  CY : 260
Turn LeftCX : 222  CY : 262
Turn LeftCX : 222  CY : 259
Turn LeftCX : 225  CY : 253
Turn LeftCX : 226  CY : 252
Turn LeftCX : 222  CY : 260
Turn LeftCX : 223  CY : 261
Turn LeftCX : 223  CY : 258
Turn LeftCX : 220  CY : 264
Turn LeftCX : 227  CY : 249
Turn LeftCX : 225  CY : 254
Turn LeftCX : 220  CY : 260
Turn LeftCX : 225  CY : 256
Turn LeftCX : 227  CY : 255
Turn LeftCX : 230  CY : 255
Turn LeftCX : 238  CY : 248
Turn LeftCX : 233  CY : 258
Turn LeftCX : 234  CY : 257
Turn LeftCX : 236  CY : 258
Turn LeftCX : 229  CY : 253
Turn LeftCX : 236  CY : 261
Turn LeftCX : 235  CY : 256
Turn LeftCX : 235  CY : 258
Turn LeftCX : 235  CY : 258
Turn LeftCX : 237  CY : 253
Turn LeftCX : 230  CY : 252
Turn LeftCX : 229  CY : 253
Turn LeftCX : 228  CY : 252
Turn LeftCX : 227  CY : 252
Turn LeftCX : 226  CY : 250
Turn LeftCX : 225  CY : 255
Turn LeftCX : 225  CY : 254
Turn LeftCX : 238  CY : 252
Turn LeftCX : 231  CY : 257
Turn LeftCX : 229  CY : 258
Turn LeftCX : 229  CY : 257
Turn LeftCX : 227  CY : 258
Turn LeftCX : 226  CY : 257
Turn LeftCX : 228  CY : 258
Turn LeftCX : 225  CY : 256
Turn LeftCX : 227  CY : 256
Turn LeftCX : 228  CY : 256
Turn LeftCX : 231  CY : 254
Turn LeftCX : 233  CY : 252
Turn LeftCX : 234  CY : 257
Turn LeftCX : 235  CY : 257
Turn LeftCX : 235  CY : 257
Turn LeftCX : 237  CY : 258
Turn LeftCX : 238  CY : 257
Turn LeftCX : 238  CY : 255
Turn LeftCX : 238  CY : 257
Turn LeftCX : 238  CY : 257
Turn LeftCX : 237  CY : 258
Turn LeftCX : 235  CY : 257
Turn LeftCX : 234  CY : 257
Turn LeftCX : 234  CY : 258
Turn LeftCX : 234  CY : 258
Turn LeftCX : 234  CY : 257
Turn LeftCX : 231  CY : 251
Turn LeftCX : 234  CY : 259
Turn LeftCX : 232  CY : 257
Turn LeftCX : 231  CY : 259
Turn LeftCX : 228  CY : 258
Turn LeftCX : 222  CY : 258
Turn LeftCX : 207  CY : 257
Turn LeftCX : 181  CY : 257
Turn LeftCX : 153  CY : 256
Turn LeftCX : 132  CY : 250
Turn LeftCX : 114  CY : 240
On Track!CX : 100  CY : 233
On Track!CX : 95  CY : 232
On Track!CX : 96  CY : 234
On Track!CX : 95  CY : 234
On Track!CX : 97  CY : 234
On Track!CX : 96  CY : 234
On Track!CX : 100  CY : 237
On Track!CX : 98  CY : 237
On Track!CX : 101  CY : 238
On Track!CX : 101  CY : 238
On Track!CX : 99  CY : 236
On Track!CX : 102  CY : 239
On Track!CX : 103  CY : 239
On Track!CX : 103  CY : 239
On Track!CX : 103  CY : 239
On Track!CX : 103  CY : 239
On Track!CX : 103  CY : 238
On Track!CX : 103  CY : 239
On Track!CX : 103  CY : 238
On Track!CX : 103  CY : 239
On Track!CX : 102  CY : 239
On Track!CX : 102  CY : 239
On Track!CX : 102  CY : 238
On Track!CX : 102  CY : 239
On Track!CX : 102  CY : 239
On Track!CX : 102  CY : 238
On Track!CX : 101  CY : 239
On Track!CX : 101  CY : 238
On Track!CX : 102  CY : 239
On Track!CX : 102  CY : 239
On Track!CX : 101  CY : 239
On Track!CX : 101  CY : 239
On Track!CX : 102  CY : 239
On Track!CX : 101  CY : 239
On Track!CX : 101  CY : 239
On Track!CX : 101  CY : 239
On Track!CX : 100  CY : 238
On Track!CX : 100  CY : 239
